ID;Genero;Edad;Aprendo mejor leyendo lo que el maestro escribe en la pizarra;Cuando leo las instrucciones las recuerdo mejor;Entiendo mejor cuando leo las instrucciones;Aprendo mejor leyendo que escuchando a alguien;Aprendo mas leyendo libros de texto que escuchando conferencias;Cuando el profesor me dice las instrucciones entiendo mejor;Cuando alguien me dice como hacer algo en clase lo aprendo mejor;Recuerdo las cosas que he escuchado en clase mejor que las cosas que he leido;Aprendo mejor en clase cuando el profesor da una conferencia;Aprendo mejor en clase cuando escucho a alguien;Prefiero aprender haciendo algo en clase;Cuando hago cosas en clase aprendo mejor;Me gusta aprender en clase haciendo experimentos;Entiendo mejor las cosas en clase cuando participo en juegos de rol;Te resulta mas facil aprender algo cuando puedes hacerlo tu mismo en lugar de solo escuchar o leer sobre ello
10011290;Masculino;17;2;2;1;2;1;3;2;2;3;2;2;1;3;1;5
10011291;Masculino;16;3;2;1;2;1;2;1;2;4;3;3;3;3;3;5
10011292;Masculino;17;3;2;4;4;2;3;4;3;3;2;5;4;4;2;5
10011293;Masculino;17;4;3;3;2;4;3;3;3;3;4;2;2;3;3;5
10011294;Femenino;19;2;4;2;2;2;1;3;2;4;3;2;3;3;2;5
10011295;Masculino;18;2;3;2;3;4;4;2;3;3;3;4;4;4;4;5
10011296;Femenino;17;3;2;1;2;3;2;1;3;1;2;2;1;3;3;5
10011297;Masculino;17;3;3;1;3;2;3;1;4;1;4;3;1;3;3;5
10011298;Femenino;17;4;3;2;4;3;3;3;3;2;2;1;2;1;2;5
10011299;Masculino;17;3;3;3;2;2;2;3;2;3;3;2;3;2;3;5
10011300;Masculino;16;5;3;5;4;3;4;4;4;4;4;3;4;4;3;5
10011301;Masculino;17;4;1;4;3;2;3;2;4;3;3;2;3;3;4;5
10011302;Femenino;16;4;3;3;2;3;3;3;2;2;4;4;5;4;5;5
10011303;Femenino;17;5;2;3;4;3;3;4;3;3;3;4;3;2;4;5
10011304;Femenino;18;3;3;3;5;3;4;4;5;3;3;4;3;3;5;5
10011305;Femenino;18;4;2;5;3;3;2;4;4;2;1;3;5;3;2;5
10011306;Masculino;16;3;2;4;4;5;3;4;4;2;4;3;5;2;4;5
10011307;Femenino;16;3;3;5;4;4;4;3;2;4;4;3;4;2;5;5
10011308;Masculino;16;3;5;3;3;3;1;2;4;3;2;2;5;5;3;5
10011309;Femenino;16;2;4;1;4;2;3;3;2;4;3;3;4;5;5;5
10011310;Masculino;17;4;2;5;2;4;5;4;3;4;2;5;2;4;4;5
10011311;Femenino;16;3;3;3;2;2;1;4;2;4;2;4;3;2;4;5
10011312;Femenino;17;4;5;2;4;4;2;4;2;4;3;2;4;4;3;5
10011313;Femenino;16;4;4;2;4;2;4;3;3;3;2;3;4;2;4;5
10011314;Masculino;15;3;4;4;2;3;4;2;5;2;4;2;4;2;3;5
10011315;Masculino;17;4;4;4;3;3;3;2;4;2;4;4;3;3;2;5
10011316;Masculino;17;5;3;3;1;2;3;2;2;4;4;3;3;3;3;5
10011317;Femenino;16;4;3;2;4;2;4;4;4;4;3;4;3;3;4;5
10011318;Femenino;16;4;3;3;4;4;3;3;4;2;4;3;3;3;3;5
10011319;Femenino;16;2;4;1;4;3;4;2;4;3;2;3;2;3;4;5
10011320;Masculino;17;3;5;2;4;5;3;4;3;4;3;4;4;3;4;5
10011321;Masculino;16;5;4;3;3;3;3;4;3;4;3;5;3;4;3;5
10011322;Femenino;16;1;3;2;3;3;4;3;3;2;3;4;3;4;3;5
10011323;Masculino;17;3;4;2;4;2;4;3;4;5;1;4;4;4;4;5
10011324;Femenino;17;5;3;5;3;4;4;3;5;3;5;4;4;4;3;5
10011325;Femenino;18;3;4;3;2;3;3;3;4;3;4;3;5;3;4;5
10011326;Femenino;19;3;3;1;4;3;3;4;2;2;4;1;1;2;2;5
10011327;Masculino;15;3;2;2;1;2;3;1;3;2;2;1;5;2;5;5
10011328;Femenino;18;3;4;2;4;3;3;3;5;3;5;4;4;4;5;5
10011329;Femenino;16;4;3;2;2;3;2;4;3;2;2;2;3;3;3;5
10011330;Femenino;18;4;5;1;4;3;4;1;2;4;4;4;3;4;5;5
10011331;Masculino;15;5;4;3;4;5;4;3;4;4;3;2;2;2;2;5
10011332;Masculino;16;4;3;2;3;2;1;4;4;4;3;2;3;4;3;5
10011333;Masculino;19;5;5;2;4;2;2;3;4;2;2;3;4;2;5;5
10011334;Masculino;18;4;4;2;3;2;4;2;4;1;4;2;4;2;4;5
10011335;Femenino;16;4;4;3;2;4;2;5;4;3;4;3;3;5;2;5
10011336;Femenino;19;1;4;3;4;2;2;2;2;1;4;2;3;3;3;5
10011337;Femenino;20;2;3;3;4;4;2;4;4;2;3;5;3;4;3;5
10011338;Femenino;19;1;4;2;5;2;4;2;4;3;4;2;4;2;5;5
10011339;Masculino;17;4;3;2;3;3;2;2;2;4;3;4;3;4;3;5
10011340;Femenino;17;2;4;2;4;2;5;3;5;5;4;3;5;5;3;5
10011341;Femenino;16;2;5;2;4;3;5;3;5;3;3;5;5;5;4;5
10011342;Femenino;16;4;3;4;4;3;3;4;3;5;3;4;3;5;5;5
10011343;Femenino;17;3;4;2;4;2;4;5;5;2;5;4;5;2;5;5
10011344;Masculino;20;4;3;4;4;5;3;4;2;4;3;4;3;5;4;5
10011345;Masculino;17;4;4;3;4;4;3;4;4;5;3;5;4;5;4;5
10011346;Masculino;16;5;3;3;5;5;4;3;4;4;4;4;4;5;3;5
10011347;Femenino;17;4;4;3;3;4;2;5;3;3;3;4;4;3;3;5
10011348;Femenino;16;4;3;3;3;5;2;4;4;3;4;2;4;3;2;5
10011349;Femenino;19;3;4;3;4;5;4;4;3;4;4;3;4;3;3;5
10011350;Femenino;19;4;4;2;4;3;4;4;2;4;4;4;3;3;5;5
10011351;Femenino;20;4;3;2;3;4;3;4;3;4;3;5;2;4;4;5
10011352;Femenino;19;3;4;5;2;4;5;3;5;2;4;3;2;4;4;5
10011353;Masculino;19;3;5;5;3;5;4;3;5;5;4;4;4;2;4;5
10011354;Masculino;19;4;4;3;4;3;3;3;4;3;5;3;4;3;5;5
10011355;Femenino;20;4;5;3;4;5;3;4;4;3;3;1;2;2;1;5
10011356;Femenino;20;2;2;4;3;1;2;3;2;2;1;2;2;3;3;5
10011357;Femenino;18;4;3;2;3;2;3;3;3;2;3;3;2;3;4;5
10011358;Femenino;18;5;3;3;4;2;4;2;4;3;4;3;4;2;3;5
10011359;Masculino;21;4;4;2;4;2;4;3;4;4;3;3;5;5;3;5
10011360;Femenino;18;4;4;3;3;4;4;2;4;2;1;2;2;2;2;5
10011361;Femenino;19;3;4;1;4;4;4;3;4;4;2;2;4;2;3;5
10011362;Masculino;17;4;3;2;3;2;3;2;3;2;4;2;4;2;2;5
10011363;Masculino;20;3;4;2;4;4;3;2;4;3;4;2;4;4;4;5
10011364;Femenino;16;4;5;5;4;4;3;2;3;4;4;2;2;5;2;5
10011365;Femenino;18;4;4;2;5;5;5;3;4;3;2;3;2;3;2;5
10011366;Femenino;16;4;4;4;4;2;3;2;4;2;4;2;4;4;5;5
10011367;Femenino;18;4;5;5;4;3;4;5;5;4;4;5;4;4;4;5
10011368;Masculino;19;5;3;4;4;3;5;3;5;4;5;4;2;4;4;5
10011369;Masculino;18;4;4;3;3;2;3;2;3;3;2;2;4;3;2;5
10011370;Femenino;18;5;5;4;5;3;5;4;5;2;3;3;4;1;3;5
10011371;Femenino;19;4;3;3;4;3;4;3;4;3;2;2;3;2;3;5
10011372;Masculino;17;2;1;3;2;3;2;1;1;3;1;2;1;3;3;5
10011373;Masculino;18;1;2;2;2;1;2;3;3;2;2;1;2;2;4;5
10011374;Masculino;19;3;3;2;3;4;4;5;5;3;4;4;3;4;4;5
10011375;Masculino;18;1;3;2;2;2;3;2;2;1;1;3;1;1;2;5
10011376;Femenino;19;3;2;2;3;2;1;3;2;1;1;2;3;3;2;5
10011377;Masculino;18;3;3;2;4;2;4;2;3;2;1;1;3;2;1;5
10011378;Masculino;20;4;2;3;2;2;1;3;1;3;2;4;2;2;3;5
10011379;Femenino;20;1;3;3;3;2;3;3;2;2;3;1;3;1;1;5
10011380;Femenino;20;3;2;3;2;3;2;3;2;3;2;3;2;4;2;5
10011381;Masculino;21;3;3;2;3;3;1;4;3;4;3;3;2;2;2;5
10011382;Masculino;18;1;2;3;2;2;3;2;3;2;2;2;2;2;4;5
10011383;Masculino;18;2;5;4;3;4;3;3;2;1;3;1;2;1;3;5
10011384;Masculino;17;2;2;4;2;2;1;5;2;4;5;4;2;4;4;5
10011385;Masculino;18;2;2;3;3;2;1;2;2;1;3;2;2;2;1;5
10011386;Femenino;18;4;5;4;5;4;4;2;2;2;4;2;3;2;3;5
10011387;Masculino;19;3;4;3;4;3;3;4;4;4;4;5;5;4;3;5
10011388;Masculino;21;3;2;4;4;3;3;2;4;2;3;5;3;2;3;5
10011389;Femenino;15;2;1;2;2;2;3;2;1;3;2;2;2;2;2;5
10011390;Masculino;21;1;2;3;2;2;2;2;2;2;1;2;1;3;2;5
10011391;Masculino;19;1;1;4;2;4;3;3;3;4;4;2;4;2;4;5
10011392;Masculino;20;5;4;4;5;3;4;4;3;5;4;4;3;3;3;5
10011393;Masculino;20;2;2;2;3;4;3;2;2;1;1;1;2;3;2;5
10011394;Femenino;20;3;2;2;3;3;2;3;2;2;3;2;1;4;4;5
10011395;Femenino;20;2;5;5;3;4;4;4;3;4;3;4;5;2;4;5
10011396;Femenino;18;3;3;2;2;3;2;3;4;2;4;2;3;4;2;5
10011397;Masculino;19;1;3;3;2;3;2;3;3;2;3;3;2;3;3;5
10011398;Masculino;20;2;2;2;2;2;2;2;2;1;3;3;2;2;1;5
10011399;Masculino;19;2;4;4;3;5;4;4;3;4;3;4;5;4;4;5
10011400;Femenino;16;4;4;2;3;3;3;3;3;4;4;3;4;4;3;5
10011401;Masculino;17;4;4;5;4;5;4;3;5;4;4;4;3;4;4;5
10011402;Femenino;16;3;3;3;3;3;3;3;2;3;4;3;3;3;4;5
10011403;Masculino;16;2;4;4;3;4;5;3;4;4;4;4;3;3;4;5
10011404;Masculino;18;3;4;5;4;4;5;4;3;3;4;4;3;3;3;5
10011405;Femenino;16;5;4;4;2;3;3;3;4;4;3;4;5;3;4;5
10011406;Masculino;20;2;4;4;3;2;5;3;5;3;4;3;4;4;3;5
10011407;Femenino;20;2;5;4;3;2;2;2;1;2;3;2;3;2;2;5
10011408;Femenino;20;1;4;4;3;3;3;4;4;3;4;3;4;3;4;5
10011409;Femenino;19;2;3;3;3;3;2;2;3;3;3;3;3;2;3;5
10011410;Femenino;21;3;4;4;4;4;4;3;4;4;3;3;4;4;4;5
10011411;Femenino;20;2;4;3;3;3;4;4;5;3;3;4;3;4;4;5
10011412;Femenino;19;4;4;3;4;3;3;3;4;3;3;4;4;4;5;5
10011413;Femenino;19;4;2;3;4;3;2;3;3;3;2;2;3;3;2;5
10011414;Femenino;19;3;4;3;4;3;4;3;4;4;3;4;4;3;3;5
10011415;Femenino;16;2;4;4;3;3;4;3;3;2;3;2;2;2;3;5
10011416;Femenino;16;3;3;2;2;3;2;1;2;3;3;3;2;3;3;5
10011417;Femenino;16;3;3;1;3;3;2;3;2;2;2;3;2;2;2;5
10011418;Masculino;20;3;3;2;2;3;2;2;2;2;2;3;2;4;3;5
10011419;Masculino;19;4;4;4;4;3;4;3;3;3;4;3;3;4;3;5
10011420;Femenino;21;4;3;3;3;3;4;3;2;4;4;4;4;4;3;5
10011421;Femenino;20;4;4;4;4;4;2;5;4;3;5;4;5;4;3;5
10011422;Femenino;16;4;3;5;3;3;5;4;3;3;4;4;4;5;5;5
10011423;Femenino;20;1;3;2;4;3;2;2;3;2;3;2;2;3;2;5
10011424;Femenino;20;4;4;5;4;4;5;4;5;5;3;4;4;4;3;5
10011425;Femenino;18;2;3;3;2;3;3;2;2;2;2;2;2;4;4;5
10011426;Femenino;17;2;4;3;3;4;3;4;3;4;3;4;3;4;4;5
10011427;Femenino;16;4;4;5;4;3;5;3;2;4;3;3;4;4;4;5
10011428;Femenino;20;3;3;3;3;3;2;3;3;3;3;5;5;3;4;5
10011429;Masculino;20;2;5;4;3;4;3;3;3;3;4;5;4;5;4;5
10011430;Femenino;16;1;2;4;2;2;3;2;2;3;3;2;3;2;2;5
10011431;Masculino;18;2;1;2;4;2;2;4;2;2;2;3;3;2;2;5
10011432;Femenino;20;3;3;2;3;3;2;3;2;3;2;2;2;3;2;5
10011433;Masculino;20;2;3;4;2;4;3;3;4;3;4;4;4;3;5;5
10011434;Femenino;19;4;4;2;4;4;4;4;3;4;5;4;5;5;4;5
10011435;Femenino;17;3;2;3;3;2;3;2;3;3;2;3;3;2;3;5
10011436;Femenino;16;2;3;2;3;3;2;4;2;4;2;2;4;4;2;5
10011437;Femenino;19;4;5;3;4;5;2;5;3;3;5;4;3;4;4;5
10011438;Femenino;18;3;4;3;4;4;3;4;4;4;3;5;5;4;2;5
10011439;Masculino;17;4;4;3;4;4;2;3;3;5;4;3;5;4;5;5
10011440;Masculino;17;3;4;3;4;3;4;2;2;2;2;2;3;4;3;5
10011441;Femenino;16;2;2;3;2;3;3;3;2;2;1;3;2;2;2;5
10011442;Masculino;16;3;4;2;3;2;3;2;3;3;3;3;4;3;4;5
10011443;Masculino;16;3;4;3;3;4;4;4;3;3;4;3;4;4;4;5
10011444;Masculino;16;4;4;4;2;4;3;3;2;3;2;5;4;3;4;5
10011445;Masculino;18;4;4;3;4;4;3;4;3;4;4;3;3;4;3;5
10011446;Masculino;16;3;3;3;4;3;3;5;4;5;4;4;3;4;4;5
10011447;Femenino;16;3;4;2;4;4;3;4;3;4;3;4;4;3;4;5
10011448;Masculino;19;5;4;4;3;5;4;4;3;4;3;3;4;3;3;5
10011449;Femenino;18;3;3;2;5;4;4;4;4;3;5;5;4;4;3;5
10011450;Masculino;17;4;4;3;4;4;4;5;4;4;5;4;4;3;4;5
10011451;Masculino;16;5;4;3;3;4;4;4;3;4;3;5;4;4;4;5
10011452;Masculino;18;4;4;3;4;3;4;3;5;4;3;4;4;3;3;5
10011453;Masculino;17;4;5;2;4;3;3;2;2;3;2;3;3;3;3;5
10011454;Femenino;16;4;3;3;3;2;3;3;2;3;3;3;2;2;3;5
10011455;Femenino;17;4;2;3;3;2;3;3;2;2;5;3;5;2;3;5
10011456;Femenino;16;3;3;2;3;3;3;2;2;2;3;3;3;2;2;5
10011457;Femenino;18;1;2;2;4;3;2;4;2;2;3;2;5;2;5;5
10011458;Masculino;16;1;3;3;3;3;2;2;2;4;3;3;3;3;3;5
10011459;Masculino;18;2;1;3;3;2;3;2;2;3;3;2;2;3;2;5
10011460;Masculino;18;4;3;3;4;2;3;3;5;3;3;4;3;5;3;5
10011461;Masculino;17;3;5;3;4;2;4;3;3;3;3;3;5;4;3;5
10011462;Femenino;17;2;4;3;3;2;4;3;4;2;4;2;4;3;3;5
10011463;Femenino;18;3;4;3;4;2;4;3;3;3;2;3;2;3;3;5
10011464;Masculino;16;3;2;2;3;2;2;4;3;2;3;2;4;2;3;5
10011465;Femenino;15;3;4;3;1;3;2;2;3;2;4;2;3;2;4;5
10011466;Femenino;17;5;4;3;4;3;4;3;4;4;4;5;3;4;4;5
10011467;Femenino;17;3;3;3;5;5;3;3;3;2;4;1;4;2;4;5
10011468;Femenino;17;4;4;3;3;4;3;4;4;3;4;3;4;5;3;5
10011469;Masculino;17;4;4;3;2;4;2;5;3;4;2;4;4;2;5;5
10011470;Masculino;17;3;4;3;4;4;3;4;4;5;4;3;4;3;3;5
10011471;Femenino;17;3;5;3;4;4;4;3;4;3;5;2;5;5;4;5
10011472;Masculino;20;3;3;5;3;4;4;4;5;3;4;5;4;4;4;5
10011473;Femenino;19;4;3;4;4;4;3;4;4;4;5;5;4;4;2;5
10011474;Masculino;16;2;4;4;4;5;5;5;3;5;2;5;4;3;5;5
10011475;Masculino;20;4;5;4;5;5;4;3;5;3;4;3;4;3;3;5
10011476;Masculino;19;5;4;3;5;4;5;5;3;4;3;4;5;3;3;5
10011477;Masculino;18;3;5;4;4;2;4;3;4;4;3;5;4;4;3;5
10011478;Femenino;18;4;5;3;4;4;4;3;4;4;4;4;5;4;4;5
10011479;Masculino;17;3;4;3;5;3;4;4;2;3;3;4;3;3;2;5
10011480;Masculino;17;3;3;5;4;2;4;2;4;3;3;4;3;4;4;5
10011481;Masculino;19;3;4;3;3;3;5;4;1;3;4;2;4;4;2;5
10011482;Masculino;19;3;5;4;4;2;4;3;4;4;2;5;4;2;4;5
10011483;Masculino;20;3;4;2;4;5;2;5;3;4;4;3;4;3;3;5
10011484;Femenino;17;3;4;3;4;4;2;4;4;2;4;4;3;5;4;5
10011485;Masculino;17;4;4;2;2;2;3;3;3;2;3;3;3;3;3;5
10011486;Femenino;17;4;3;2;4;3;4;2;4;3;3;4;4;3;4;5
10011487;Masculino;18;2;4;3;3;4;2;4;2;4;2;4;3;4;2;5
10011488;Masculino;20;3;2;3;5;2;4;4;3;4;4;4;3;4;3;5
10011489;Masculino;19;5;4;4;3;3;4;4;3;4;3;4;5;3;4;5
10011490;Masculino;19;5;4;3;3;4;3;5;3;5;3;3;5;4;3;5
10011491;Femenino;20;4;4;3;4;2;3;2;4;2;5;3;3;5;4;5
10011492;Masculino;18;5;5;3;4;3;4;4;3;3;2;2;1;3;3;5
10011493;Masculino;19;5;3;3;3;4;4;4;3;3;4;4;3;4;4;5
10011494;Masculino;19;4;3;4;3;4;4;4;4;3;5;3;4;3;4;5
10011495;Femenino;18;3;2;3;4;3;3;4;3;2;5;3;4;4;2;5
10011496;Masculino;18;5;3;4;4;3;4;3;4;2;2;5;3;4;2;5
10011497;Masculino;19;3;4;2;4;4;2;4;1;4;3;3;4;4;3;5
10011498;Masculino;18;4;5;2;5;3;3;4;3;2;3;2;2;3;2;5
10011499;Masculino;19;3;4;4;2;3;3;2;3;4;3;4;2;4;3;5
10011500;Masculino;16;4;3;2;2;2;5;4;3;4;3;4;5;4;3;5
10011501;Femenino;20;3;5;2;4;3;3;4;3;4;2;4;3;4;4;5
10011502;Masculino;20;2;1;2;5;2;4;3;3;4;5;3;3;3;3;5
10011503;Masculino;19;3;4;3;5;5;3;4;5;4;2;2;2;2;2;5
10011504;Masculino;17;2;3;2;3;3;3;2;2;2;2;2;3;3;3;5
10011505;Masculino;18;4;2;4;2;4;2;3;3;2;3;3;3;2;4;5
10011506;Femenino;20;2;4;4;3;4;5;2;4;4;3;2;4;2;4;5
10011507;Masculino;17;3;4;3;2;3;2;3;2;4;3;3;2;4;3;5
10011508;Masculino;17;4;4;2;3;3;4;3;4;3;4;3;4;3;4;5
10011509;Masculino;19;3;4;4;3;4;3;2;4;3;5;3;3;5;3;5
10011510;Masculino;19;5;2;5;5;3;5;3;4;3;5;3;4;5;4;5
10011511;Femenino;18;4;3;4;4;3;4;2;4;2;4;3;4;5;3;5
10011512;Masculino;17;5;5;3;5;4;3;4;2;4;4;3;4;4;3;5
10011513;Masculino;18;4;4;4;5;4;5;3;3;4;2;5;4;2;4;5
10011514;Femenino;16;3;2;4;5;4;5;4;5;4;4;3;4;5;4;5
10011515;Masculino;17;4;3;3;3;4;5;4;3;4;5;4;4;3;4;5
10011516;Masculino;18;3;5;4;4;4;3;5;4;3;5;4;5;4;4;5
10011517;Masculino;18;4;4;3;3;4;3;5;5;5;3;2;4;3;4;5
10011518;Femenino;18;5;3;3;5;4;5;4;4;5;4;3;4;4;3;5
10011519;Femenino;19;3;3;3;4;4;2;4;4;3;3;5;5;4;4;5
10011520;Masculino;17;3;5;4;4;3;4;3;4;3;4;3;5;4;4;5
10011521;Femenino;18;4;4;3;3;4;4;4;5;4;4;4;4;4;5;5
10011522;Femenino;19;1;3;2;3;3;2;3;2;2;2;2;2;3;3;5
10011523;Masculino;21;3;2;4;4;4;3;5;3;4;3;4;2;3;4;5
10011524;Femenino;18;3;2;3;4;3;1;3;2;2;3;2;2;4;2;5
10011525;Femenino;18;3;4;5;3;2;4;4;2;4;2;4;2;4;2;5
10011526;Masculino;20;3;5;4;3;3;5;3;2;4;4;3;4;1;4;5
10011527;Masculino;20;2;4;4;2;3;2;4;2;4;2;4;2;3;2;5
10011528;Masculino;21;2;3;3;3;2;3;2;4;4;1;5;2;4;4;5
10011529;Masculino;17;3;3;3;3;2;4;2;2;3;1;2;1;4;5;5
10011530;Masculino;18;4;5;3;1;3;2;3;4;2;3;2;4;4;2;5
10011531;Masculino;18;2;3;3;4;2;3;4;4;3;3;4;4;4;4;5
10011532;Masculino;17;4;4;4;3;5;4;3;3;5;5;5;4;4;4;5
10011533;Masculino;16;2;3;4;3;3;4;3;5;4;4;4;4;5;4;5
10011534;Femenino;18;3;5;4;4;3;5;3;4;4;5;4;4;4;4;5
10011535;Femenino;18;4;4;3;4;4;5;3;4;4;2;4;4;3;4;5
10011536;Femenino;16;5;4;3;4;4;5;5;4;4;4;5;5;4;4;5
10011537;Masculino;18;4;5;4;3;3;4;3;5;3;5;5;2;5;5;5
10011538;Masculino;17;3;4;4;2;4;3;5;3;5;4;5;4;5;3;5
10011539;Femenino;18;4;4;5;4;3;5;3;4;5;4;5;3;5;4;5
10011540;Masculino;17;5;4;4;5;5;3;4;4;3;5;4;3;5;3;5
10011541;Masculino;19;4;4;2;4;4;3;5;2;4;3;4;4;3;5;5
10011542;Femenino;18;5;4;1;4;4;5;4;4;4;3;4;5;4;4;5
10011543;Masculino;19;4;5;4;4;5;5;4;4;4;4;4;4;4;3;5
10011544;Masculino;19;5;5;4;3;4;3;4;3;4;4;4;4;4;4;5
10011545;Masculino;19;3;4;4;4;5;4;3;4;4;4;3;4;3;2;5
10011546;Femenino;17;2;4;3;5;3;3;4;3;4;3;3;3;4;4;5
10011547;Masculino;17;5;5;4;4;4;4;4;3;4;3;3;3;3;3;5
10011548;Masculino;16;3;4;4;4;3;4;3;3;3;4;5;4;4;4;5
10011549;Masculino;17;3;4;4;4;3;4;4;3;4;4;4;4;4;4;5
10011550;Masculino;17;3;4;4;4;4;4;3;3;4;5;3;4;3;4;5
10011551;Femenino;18;4;4;3;4;4;3;4;2;3;3;3;3;3;3;5
10011552;Masculino;19;4;3;5;4;4;3;4;3;3;3;5;4;3;3;5
10011553;Femenino;17;2;3;3;3;3;3;3;3;3;3;4;3;3;4;5
10011554;Masculino;16;4;3;4;3;4;4;4;3;3;4;3;4;4;4;5
10011555;Femenino;17;3;5;3;4;5;4;4;4;4;4;5;3;5;4;5
10011556;Femenino;17;4;4;3;4;4;3;4;3;3;3;4;4;3;3;5
10011557;Masculino;16;5;3;5;4;4;4;4;4;2;5;3;3;4;3;5
10011558;Masculino;16;4;4;3;4;4;5;4;3;4;3;5;4;4;3;5
10011559;Masculino;17;4;4;3;4;3;4;3;3;3;4;3;4;3;4;5
10011560;Femenino;16;3;4;3;5;3;3;5;3;5;4;2;4;4;4;5
10011561;Masculino;18;3;5;3;4;4;3;4;3;4;4;3;5;5;3;5
10011562;Masculino;19;3;4;3;4;4;4;3;4;4;4;3;4;3;4;5
10011563;Femenino;18;3;4;2;4;4;4;4;3;4;4;3;3;4;4;5
10011564;Masculino;17;4;5;4;4;3;4;2;4;3;3;4;4;3;3;5
10011565;Masculino;16;3;4;4;3;2;3;3;3;3;2;3;4;3;3;5
10011566;Masculino;16;4;3;3;4;4;4;3;5;3;3;3;3;4;4;5
10011567;Masculino;16;4;3;4;3;3;4;3;3;3;3;4;4;3;4;5
10011568;Masculino;17;2;3;2;3;3;4;4;4;3;2;3;4;3;4;5
10011569;Masculino;18;4;4;4;3;5;2;3;3;4;3;4;4;3;3;5
10011570;Masculino;17;4;3;4;4;3;4;3;4;2;3;2;2;3;2;5
10011571;Masculino;17;3;4;2;5;4;4;4;5;2;3;3;2;2;2;5
10011572;Femenino;17;4;4;2;2;3;2;2;3;4;3;2;2;3;2;5
10011573;Masculino;17;3;3;2;3;3;3;2;2;3;3;2;3;3;2;5
10011574;Masculino;16;3;2;3;2;4;3;2;3;4;3;4;3;2;3;5
10011575;Femenino;16;4;4;4;4;3;3;4;4;3;2;4;3;4;2;5
10011576;Masculino;15;3;3;3;3;2;3;3;2;3;4;3;3;3;1;5
10011577;Femenino;17;2;3;2;3;3;3;2;3;3;2;3;3;3;3;5
10011578;Femenino;16;5;4;4;3;3;3;5;4;2;4;4;3;3;4;5
10011579;Femenino;16;4;4;3;4;4;4;4;5;3;4;4;4;4;4;5
10011580;Masculino;18;4;3;4;4;3;3;4;4;4;4;4;3;3;4;5
10011581;Femenino;16;5;3;4;4;4;3;3;4;4;4;3;4;3;4;5
10011582;Femenino;16;4;3;4;4;3;3;4;3;4;4;3;3;4;4;5
10011583;Femenino;15;4;3;4;3;3;4;3;3;4;3;3;3;4;4;5
10011584;Femenino;17;5;3;4;5;4;3;3;4;3;4;4;3;4;3;5
10011585;Femenino;15;4;4;4;3;4;4;3;3;4;4;4;3;3;4;5
10011586;Femenino;17;3;4;3;4;4;3;5;4;5;5;4;3;4;4;5
10011587;Femenino;16;3;4;3;3;3;4;5;3;4;3;4;4;4;5;5
10011588;Femenino;17;4;3;4;3;4;3;4;4;4;3;3;3;4;3;5
10011589;Masculino;16;4;3;4;3;3;4;3;4;4;4;3;4;3;4;5
10011590;Masculino;16;4;3;4;5;3;4;4;4;4;3;3;3;4;4;5
10011591;Femenino;17;5;3;4;3;4;4;4;4;3;4;4;4;3;4;5
10011592;Masculino;17;3;3;3;4;4;2;4;3;4;4;3;3;3;3;5
10011593;Masculino;16;4;2;4;4;3;4;4;3;4;5;4;4;3;4;5
10011594;Masculino;15;3;4;3;4;3;4;4;4;4;3;4;3;3;5;5
10011595;Femenino;16;2;3;4;3;3;4;3;3;4;4;4;4;3;4;5
