ID;Genero;Edad;Aprendo mejor leyendo lo que el maestro escribe en la pizarra;Cuando leo las instrucciones las recuerdo mejor;Entiendo mejor cuando leo las instrucciones;Aprendo mejor leyendo que escuchando a alguien;Aprendo mas leyendo libros de texto que escuchando conferencias;Cuando el profesor me dice las instrucciones entiendo mejor;Cuando alguien me dice como hacer algo en clase lo aprendo mejor;Recuerdo las cosas que he escuchado en clase mejor que las cosas que he leido;Aprendo mejor en clase cuando el profesor da una conferencia;Aprendo mejor en clase cuando escucho a alguien;Prefiero aprender haciendo algo en clase;Cuando hago cosas en clase aprendo mejor;Me gusta aprender en clase haciendo experimentos;Entiendo mejor las cosas en clase cuando participo en juegos de rol;Te resulta mas facil aprender algo cuando puedes hacerlo tu mismo en lugar de solo escuchar o leer sobre ello
10011903;Masculino;17;3;2;5;3;3;3;3;1;2;3;4;4;3;4;5
10011904;Femenino;17;2;2;1;2;3;1;3;3;4;1;1;2;1;5;5
10011905;Femenino;19;2;2;1;1;1;1;1;1;2;2;1;3;1;2;5
10011906;Masculino;19;4;4;4;2;5;5;4;2;3;3;5;4;5;4;5
10011907;Femenino;19;5;3;5;5;5;1;1;1;5;5;1;5;4;5;5
10011908;Femenino;18;5;4;4;5;3;4;4;3;5;3;4;4;5;4;5
10011909;Femenino;15;4;4;3;4;4;5;5;4;4;1;4;3;5;4;5
10011910;Masculino;10;5;5;3;3;3;5;5;5;5;4;5;5;5;3;5
10011911;Femenino;18;3;2;4;4;3;4;3;4;3;3;5;4;5;4;5
10011912;Masculino;21;4;3;2;3;3;3;2;4;2;3;4;4;3;4;5
10011913;Masculino;21;4;4;4;2;3;2;5;5;2;4;5;5;5;3;5
10011914;Masculino;21;1;3;3;4;4;3;5;4;2;4;2;2;4;5;5
10011915;Femenino;19;2;4;2;2;2;3;4;5;4;3;4;5;3;2;5
10011916;Femenino;20;3;4;5;4;3;5;5;4;4;4;3;4;4;4;5
10011917;Femenino;19;4;4;4;3;3;4;4;4;3;4;3;4;4;4;5
10011918;Masculino;20;5;3;4;3;3;4;5;3;4;4;4;4;4;4;5
10011919;Masculino;20;4;3;4;2;3;4;4;3;4;4;4;4;5;4;5
10011920;Masculino;21;2;2;2;3;4;2;4;1;2;3;3;4;4;4;5
10011921;Masculino;20;2;5;5;3;5;3;4;3;3;4;5;5;4;4;5
10011922;Femenino;21;3;4;5;5;4;5;2;3;3;4;4;1;5;4;5
10011923;Masculino;21;2;4;3;4;4;3;2;3;3;4;5;4;5;4;5
10011924;Masculino;20;5;3;4;3;3;4;5;3;4;4;4;4;4;4;5
10011925;Masculino;20;4;3;4;2;3;4;4;3;4;4;4;4;5;4;5
10011926;Masculino;21;2;2;2;3;4;2;4;1;2;3;3;4;4;4;5
10011927;Masculino;20;2;5;5;3;5;3;4;3;3;4;5;5;4;4;5
10011928;Femenino;21;3;4;5;5;4;5;2;3;3;4;4;1;5;4;5
10011929;Masculino;21;2;4;3;4;4;3;2;3;3;4;5;4;5;4;5
10011930;Femenino;20;3;3;3;4;5;3;2;3;3;4;4;4;4;4;5
10011931;Masculino;17;4;4;4;3;3;1;4;4;3;2;4;4;4;3;5
10011932;Masculino;16;3;2;2;5;5;3;3;2;5;5;3;2;5;5;5
10011933;Masculino;18;4;3;3;4;3;2;3;3;3;4;3;4;5;4;5
10011934;Masculino;18;3;2;2;2;2;2;3;2;2;4;2;3;3;4;5
10011935;Femenino;19;3;3;4;3;3;3;3;4;4;3;1;3;4;3;5
10011936;Femenino;21;1;1;5;1;1;2;4;5;3;3;3;5;5;1;5
10011937;Femenino;32;4;5;5;5;4;4;5;5;3;4;5;5;5;5;5
10011938;Masculino;17;3;5;5;5;5;4;4;3;2;4;3;4;2;2;5
10011939;Masculino;20;3;3;3;4;4;3;3;3;3;3;4;3;3;3;5
10011940;Masculino;17;4;5;5;4;4;4;5;5;5;5;3;4;4;5;5
10011941;Masculino;18;3;3;4;4;5;5;4;4;3;4;5;4;5;4;5
10011942;Femenino;12;2;2;3;3;5;3;1;3;1;3;1;4;3;2;5
10011943;Femenino;12;1;1;4;2;1;3;5;4;2;2;1;4;3;3;5
10011944;Femenino;18;2;4;4;5;4;4;4;4;4;5;2;5;4;4;5
10011945;Femenino;18;3;3;5;4;4;3;4;3;3;3;4;4;3;3;5
10011946;Femenino;18;4;3;4;2;3;4;3;3;3;4;4;5;4;2;5
10011947;Masculino;22;4;3;3;3;2;4;4;4;4;4;3;4;4;4;5
10011948;Femenino;21;4;3;4;4;3;4;4;3;4;4;4;4;4;4;5
10011949;Femenino;18;2;5;4;4;5;4;4;5;4;4;4;4;5;4;5
10011950;Masculino;20;4;3;3;2;3;4;4;3;3;4;4;3;2;4;5
10011951;Masculino;17;5;5;4;4;3;5;4;5;4;4;4;5;5;4;5
10011952;Masculino;21;4;5;5;1;1;5;4;3;5;5;5;1;3;1;5
10011953;Femenino;19;2;4;4;3;2;4;4;4;5;5;4;4;4;4;5
10011954;Femenino;19;1;3;3;3;5;3;3;1;3;4;4;3;5;3;5
10011955;Masculino;21;5;2;4;2;3;5;2;4;3;1;4;4;5;2;5
10011956;Masculino;20;4;4;3;3;2;5;4;5;4;4;5;5;4;3;5
10011957;Femenino;21;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5
10011958;Masculino;21;4;2;3;2;2;4;4;4;2;4;4;4;5;3;5
10011959;Masculino;21;2;4;4;3;3;4;4;4;2;4;3;4;5;2;5
10011960;Masculino;21;3;3;3;5;4;5;2;2;3;3;5;3;3;4;5
10011961;Masculino;20;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5
10011962;Femenino;15;3;4;4;3;4;4;3;2;5;2;3;4;4;2;5
10011963;Femenino;15;2;2;2;2;2;3;2;4;1;3;5;3;4;2;5
10011964;Femenino;14;3;4;3;3;2;4;4;3;3;3;3;3;3;2;5
10011965;Masculino;22;4;3;3;3;2;4;4;4;4;4;3;4;4;4;5
10011966;Femenino;14;3;5;4;3;3;4;5;4;4;5;5;5;5;5;5
10011967;Femenino;12;4;3;4;1;1;4;4;5;4;3;5;4;5;5;5
10011968;Masculino;21;1;5;4;5;3;3;5;3;3;4;4;4;3;2;5
10011969;Masculino;21;3;3;4;2;3;4;4;4;2;4;5;4;5;4;5
10011970;Femenino;15;3;3;4;4;5;4;4;2;3;4;5;4;5;5;5
10011971;Femenino;17;4;4;2;3;3;4;5;5;5;2;5;5;5;5;5
10011972;Femenino;20;4;4;4;3;4;5;5;5;5;5;5;5;5;5;5
10011973;Masculino;16;3;1;4;2;1;3;5;5;5;1;5;5;3;3;5
10011974;Femenino;16;3;4;4;4;4;4;3;2;3;3;3;3;4;3;5
10011975;Femenino;19;3;4;4;4;4;4;3;2;3;3;3;3;4;3;5
10011976;Masculino;21;3;4;4;4;3;5;4;2;4;4;5;5;3;4;5
10011977;Masculino;21;5;2;4;2;3;5;2;4;3;1;4;4;5;2;5
10011978;Masculino;20;4;4;3;3;2;5;4;5;4;4;5;5;4;3;5
10011979;Femenino;21;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5
10011980;Masculino;21;4;2;3;2;2;4;4;4;2;4;4;4;5;3;5
10011981;Masculino;21;2;4;4;3;3;4;4;4;2;4;3;4;5;2;5
10011982;Femenino;15;3;3;3;4;4;4;4;3;3;4;4;4;4;3;5
10011983;Masculino;20;1;3;1;3;2;3;3;2;2;3;2;2;1;1;5
10011984;Masculino;21;2;2;1;5;5;4;4;5;3;4;5;4;5;2;5
10011985;Masculino;20;3;3;3;4;3;4;2;3;3;4;4;3;3;3;5
10011986;Femenino;21;3;4;5;5;5;4;2;1;5;2;5;4;4;1;5
10011987;Femenino;15;4;3;3;3;2;5;4;4;3;4;4;4;4;3;5
10011988;Masculino;16;1;3;3;3;4;3;3;4;2;3;5;5;5;2;5
10011989;Femenino;15;2;4;4;2;3;3;2;3;3;1;5;4;3;5;5
10011990;Femenino;16;3;4;3;4;3;4;3;2;2;4;4;4;2;1;5
10011991;Masculino;15;3;4;4;4;5;4;4;5;1;4;4;5;5;1;5
10011992;Femenino;14;3;4;3;3;2;4;4;4;3;3;5;5;5;5;5
10011993;Femenino;14;1;5;3;5;2;5;5;4;3;4;4;5;5;4;5
10011994;Femenino;15;3;4;4;3;3;4;4;3;2;3;5;5;5;5;5
10011995;Masculino;20;3;3;4;3;3;3;3;2;3;3;3;3;4;2;5
10011996;Masculino;20;1;1;3;2;5;3;4;1;3;3;1;3;5;5;5
10011997;Masculino;21;3;4;5;4;4;4;4;3;3;4;5;5;5;4;5
10011998;Femenino;21;5;3;5;2;2;3;5;2;5;5;4;5;5;5;5
10011999;Femenino;21;2;4;4;3;3;4;4;4;4;2;4;4;2;2;5
10012000;Femenino;20;3;4;4;4;3;4;4;4;4;3;5;5;5;4;5
10012001;Femenino;21;3;4;5;2;3;5;4;5;4;4;5;5;5;3;5
10012002;Masculino;21;2;3;3;1;1;4;5;4;3;3;4;4;4;1;5
10012003;Femenino;20;3;3;4;3;3;4;4;3;4;4;4;4;5;4;5
10012004;Femenino;14;5;5;5;5;5;4;5;1;5;4;3;5;5;5;5
10012005;Masculino;21;4;2;4;4;4;4;4;4;5;4;4;3;5;3;5
10012006;Femenino;15;3;4;4;3;3;4;4;3;2;3;5;5;5;5;5
10012007;Femenino;20;2;4;4;2;1;3;5;5;5;5;4;3;5;2;5
10012008;Femenino;21;3;3;4;2;3;4;2;3;3;3;3;3;5;3;5
10012009;Femenino;20;3;5;5;4;4;5;3;5;5;5;5;5;5;5;5
10012010;Femenino;20;4;4;4;4;5;4;4;5;3;4;4;3;5;5;5
10012011;Masculino;17;1;2;3;4;4;1;1;5;3;3;1;5;1;3;5
10012012;Femenino;21;2;5;4;3;2;5;3;5;5;4;5;5;5;4;5
10012013;Femenino;20;4;3;2;4;1;3;3;5;4;2;2;2;4;4;5
10012014;Femenino;20;3;3;4;3;2;4;4;1;4;2;5;3;5;4;5
10012015;Femenino;15;2;3;3;2;1;2;2;4;4;2;4;4;5;4;5
10012016;Masculino;20;2;4;5;5;5;4;3;4;3;3;1;2;2;4;5
10012017;Femenino;20;5;3;3;3;1;4;4;5;4;1;3;4;5;3;5
10012018;Femenino;20;3;4;3;3;3;3;3;4;3;3;2;5;5;3;5
10012019;Femenino;20;5;3;3;3;1;4;4;5;4;1;3;4;5;3;5
10012020;Femenino;18;3;3;3;4;3;4;4;4;4;3;4;4;3;3;5
10012021;Femenino;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5
10012022;Femenino;21;5;5;4;4;4;5;5;5;3;5;4;5;5;2;5
10012023;Femenino;15;5;4;5;4;1;5;4;4;5;3;5;5;5;5;5
10012024;Masculino;21;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
10012025;Femenino;21;4;3;3;4;5;4;4;2;3;4;4;4;5;5;5
10012026;Masculino;21;4;3;5;4;3;5;3;5;4;3;3;5;5;4;5
10012027;Masculino;21;3;3;4;4;3;4;4;3;3;3;2;3;3;3;5
10012028;Femenino;14;5;5;5;5;4;4;4;1;2;3;2;5;1;1;5
10012029;Femenino;18;3;3;3;4;3;4;4;4;4;3;4;4;3;3;5
10012030;Femenino;21;4;4;4;3;2;5;4;4;4;2;4;4;4;4;5
10012031;Masculino;21;2;2;3;1;3;3;2;4;2;2;5;2;4;3;5
10012032;Femenino;21;5;4;3;4;4;3;3;4;4;4;4;3;4;4;5
10012033;Femenino;21;2;4;4;4;4;3;4;3;3;5;3;2;3;5;5
10012034;Masculino;20;1;3;3;2;2;4;5;5;3;5;2;5;4;3;5
10012035;Masculino;17;5;5;4;2;3;5;3;4;4;5;5;5;1;4;5
10012036;Masculino;17;5;5;4;2;3;5;3;4;4;5;5;5;1;4;5
10012037;Femenino;19;4;5;4;3;4;4;5;2;5;4;1;4;4;2;5
10012038;Femenino;21;3;3;4;3;2;4;3;4;4;4;4;4;4;3;5
10012039;Femenino;21;4;3;3;4;2;5;3;3;2;4;5;4;4;4;5
10012040;Femenino;20;1;4;3;1;1;3;5;1;4;5;4;5;5;4;5
10012041;Masculino;21;2;3;3;3;2;3;4;1;2;4;2;2;1;2;5
10012042;Femenino;21;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5
10012043;Masculino;18;4;2;2;2;3;4;4;4;4;4;5;4;3;4;5
10012044;Femenino;20;2;2;3;5;5;5;5;5;5;5;3;3;5;3;5
10012045;Masculino;19;1;4;4;4;4;5;3;4;4;4;3;3;4;4;5
10012046;Femenino;21;2;3;3;4;3;3;2;3;3;3;5;3;5;4;5
10012047;Femenino;21;1;4;5;1;5;3;4;5;1;5;5;5;5;5;5
10012048;Masculino;20;5;3;5;3;2;3;4;3;5;4;4;5;4;4;5
10012049;Femenino;21;4;5;4;5;1;5;4;4;1;5;5;4;5;1;5
10012050;Femenino;21;3;5;5;5;5;5;5;4;4;5;3;4;5;4;5
10012051;Masculino;20;3;5;4;5;5;4;5;2;2;4;4;5;2;3;5
10012052;Masculino;21;5;4;4;3;1;4;5;4;5;4;3;4;5;3;5
10012053;Femenino;20;3;2;2;2;5;2;4;2;1;2;4;5;4;3;5
10012054;Femenino;19;4;3;3;5;5;4;3;1;5;3;5;5;4;5;5
10012055;Masculino;19;3;3;3;3;3;3;3;3;3;3;5;3;3;3;5
10012056;Femenino;21;3;1;4;2;4;4;4;2;4;3;3;3;5;2;5
10012057;Femenino;21;3;4;3;2;1;3;2;2;3;4;5;4;4;3;5
10012058;Masculino;20;4;3;3;4;2;4;4;4;3;4;4;4;4;4;5
10012059;Femenino;21;4;4;4;2;4;4;5;4;5;5;3;4;4;4;5
10012060;Masculino;21;5;3;2;4;4;3;5;5;3;4;5;5;4;4;5
10012061;Femenino;21;2;3;3;4;3;3;4;2;3;3;4;3;3;3;5
10012062;Masculino;16;1;4;4;4;3;4;5;4;3;5;5;5;5;5;5
10012063;Masculino;21;1;4;3;1;5;2;1;1;1;5;5;5;5;5;5
10012064;Femenino;21;2;4;4;4;2;3;2;3;5;4;1;4;5;4;5
10012065;Femenino;21;1;5;2;1;5;2;5;4;4;5;5;4;5;5;5
10012066;Femenino;15;5;4;5;4;1;5;4;4;5;3;5;5;5;5;5
10012067;Masculino;21;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
10012068;Femenino;21;4;3;3;4;5;4;4;2;3;4;4;4;5;5;5
10012069;Masculino;21;4;3;5;4;3;5;3;5;4;3;3;5;5;4;5
10012070;Masculino;21;3;3;4;4;3;4;4;3;3;3;2;3;3;3;5
10012071;Femenino;14;5;5;5;5;4;4;4;1;2;3;2;5;1;1;5
10012072;Femenino;18;3;3;3;4;3;4;4;4;4;3;4;4;3;3;5
10012073;Femenino;21;4;4;4;3;2;5;4;4;4;2;4;4;4;4;5
10012074;Masculino;21;2;2;3;1;3;3;2;4;2;2;5;2;4;3;5
10012075;Femenino;20;5;4;3;4;4;3;3;4;4;4;4;3;4;4;5
10012076;Femenino;21;2;4;4;4;4;3;4;3;3;5;3;2;3;5;5
10012077;Masculino;20;1;3;3;2;2;4;5;5;3;5;2;5;4;3;5
10012078;Femenino;20;4;1;1;1;4;4;4;5;4;4;5;4;4;1;5
10012079;Femenino;21;3;4;4;4;3;5;4;5;3;2;5;5;5;4;5
10012080;Masculino;21;3;5;4;2;3;5;5;5;3;4;3;5;5;4;5
10012081;Femenino;20;2;2;3;5;5;5;5;5;5;5;3;3;5;3;5
10012082;Masculino;21;1;4;4;4;4;5;3;4;4;4;3;3;4;4;5
10012083;Femenino;21;2;3;3;4;3;3;2;3;3;3;5;3;5;4;5
10012084;Femenino;21;1;4;5;1;5;3;4;5;1;5;5;5;5;5;5
10012085;Masculino;21;5;3;5;3;2;3;4;3;5;4;4;5;4;4;5
10012086;Femenino;21;4;5;4;5;1;5;4;4;1;5;5;4;5;1;5
10012087;Femenino;21;3;5;5;5;5;5;5;4;4;5;3;4;5;4;5
10012088;Masculino;20;3;5;4;5;5;4;5;2;2;4;4;5;2;3;5
10012089;Masculino;21;5;4;4;3;1;4;5;4;5;4;3;4;5;3;5
10012090;Femenino;20;3;2;2;2;5;2;4;2;1;2;4;5;4;3;5
10012091;Femenino;21;4;3;3;5;5;4;3;1;5;3;5;5;4;5;5
10012092;Masculino;21;3;3;3;3;3;3;3;3;3;3;5;3;3;3;5
10012093;Femenino;21;3;1;4;2;4;4;4;2;4;3;3;3;5;2;5
10012094;Femenino;21;3;4;3;2;1;3;2;2;3;4;5;4;4;3;5
10012095;Masculino;20;4;3;3;4;2;4;4;4;3;4;4;4;4;4;5
10012096;Femenino;21;4;4;4;2;4;4;5;4;5;5;3;4;4;4;5
10012097;Masculino;21;5;3;2;4;4;3;5;5;3;4;5;5;4;4;5
10012098;Femenino;21;2;3;3;4;3;3;4;2;3;3;4;3;3;3;5
10012099;Masculino;16;1;4;4;4;3;4;5;4;3;5;5;5;5;5;5
10012100;Masculino;21;1;4;3;1;5;2;1;1;1;5;5;5;5;5;5
10012101;Femenino;21;2;4;4;4;2;3;2;3;5;4;1;4;5;4;5
10012102;Femenino;15;3;4;2;3;2;4;5;3;3;2;3;3;2;1;5
10012103;Femenino;20;1;4;4;3;2;4;4;5;4;4;4;4;3;3;5
10012104;Femenino;20;1;4;1;1;1;3;3;1;3;1;4;4;5;5;5
10012105;Masculino;21;3;2;3;1;1;5;3;4;1;2;5;5;5;5;5
10012106;Femenino;19;5;5;5;5;5;5;4;4;4;3;5;5;5;4;5
10012107;Masculino;21;4;4;2;4;4;4;4;5;4;4;5;4;4;2;5
10012108;Femenino;21;2;5;5;4;4;3;4;4;4;3;5;4;5;5;5
10012109;Masculino;20;3;4;3;2;3;4;4;4;4;3;4;4;4;4;5
10012110;Masculino;20;4;4;4;4;4;4;4;4;5;5;4;4;4;4;5
10012111;Femenino;21;2;3;3;3;3;4;2;2;3;3;4;2;3;3;5
10012112;Masculino;20;2;3;3;4;2;3;4;3;2;2;4;4;3;4;5
10012113;Masculino;20;3;2;3;4;4;2;4;4;2;4;2;2;2;4;5
10012114;Masculino;18;5;3;2;4;4;4;3;4;4;4;4;2;4;4;5
10012115;Masculino;18;4;2;3;2;2;3;2;2;2;3;4;4;3;3;5
10012116;Masculino;19;2;2;3;3;2;4;3;2;2;3;3;2;4;2;5
10012117;Masculino;20;2;2;2;3;5;3;2;4;3;2;4;2;4;4;5
10012118;Femenino;19;1;3;2;3;3;3;1;4;1;4;5;4;5;3;5
10012119;Masculino;15;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5
10012120;Masculino;21;4;4;4;2;2;4;4;4;4;1;3;2;3;2;5
10012121;Femenino;20;4;3;3;3;3;3;3;3;3;3;4;3;3;3;5
10012122;Masculino;17;2;3;3;4;4;3;3;3;3;3;4;4;4;4;5
10012123;Masculino;18;5;2;4;3;3;3;3;3;3;5;3;5;4;3;5
10012124;Masculino;19;4;4;5;3;5;5;4;4;5;3;4;3;5;5;5
10012125;Masculino;17;2;3;5;4;4;4;4;5;4;3;4;5;2;3;5
10012126;Masculino;16;4;3;3;5;3;4;3;4;3;3;3;4;1;4;5
10012127;Masculino;19;4;3;3;2;4;2;2;1;1;3;5;2;2;3;5
10012128;Femenino;18;4;3;4;2;3;4;3;3;3;4;4;5;4;2;5
10012129;Masculino;20;4;3;3;3;2;4;4;4;4;4;3;4;4;4;5
10012130;Femenino;14;3;5;4;3;3;4;5;4;4;5;5;5;5;5;5
10012131;Femenino;12;4;3;4;1;1;4;4;5;4;3;5;4;5;5;5
10012132;Masculino;21;1;5;4;5;3;3;5;3;3;4;4;4;3;2;5
10012133;Masculino;21;3;3;4;2;3;4;4;4;2;4;5;4;5;4;5
10012134;Femenino;15;3;3;4;4;5;4;4;2;3;4;5;4;5;5;5
10012135;Femenino;17;4;4;2;3;3;4;5;5;5;2;5;5;5;5;5
10012136;Femenino;20;4;4;4;3;4;5;5;5;5;5;5;5;5;5;5
10012137;Masculino;16;3;1;4;2;1;3;5;5;5;1;5;5;3;3;5
10012138;Femenino;16;3;4;4;4;4;4;3;2;3;3;3;3;4;3;5
10012139;Femenino;18;2;4;5;4;5;5;4;2;4;4;5;5;5;3;5
10012140;Masculino;16;2;4;5;1;1;1;3;4;1;5;3;5;5;4;5
10012141;Femenino;20;3;5;5;3;5;1;5;2;3;5;5;5;5;4;5
10012142;Masculino;19;3;4;4;4;3;5;4;2;4;4;5;5;3;4;5
10012143;Masculino;21;5;2;4;2;3;5;2;4;3;1;4;4;5;2;5
10012144;Masculino;20;4;4;3;3;2;5;4;5;4;4;5;5;4;3;5
10012145;Femenino;21;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5
10012146;Masculino;21;4;2;3;2;2;4;4;4;2;4;4;4;5;3;5
10012147;Masculino;21;2;4;4;3;3;4;4;4;2;4;3;4;5;2;5
10012148;Femenino;15;3;3;3;4;4;4;4;3;3;4;4;4;4;3;5
10012149;Femenino;21;4;5;4;5;1;5;4;4;1;5;5;4;5;1;5
10012150;Femenino;21;3;5;5;5;5;5;5;4;4;5;3;4;5;4;5
10012151;Masculino;20;3;5;4;5;5;4;5;2;2;4;4;5;2;3;5
10012152;Masculino;21;5;4;4;3;1;4;5;4;5;4;3;4;5;3;5
10012153;Femenino;20;3;2;2;2;5;2;4;2;1;2;4;5;4;3;5
10012154;Femenino;19;4;3;3;5;5;4;3;1;5;3;5;5;4;5;5
10012155;Masculino;21;3;3;3;3;3;3;3;3;3;3;5;3;3;3;5
10012156;Femenino;19;3;1;4;2;4;4;4;2;4;3;3;3;5;2;5
10012157;Femenino;19;3;4;3;2;1;3;2;2;3;4;5;4;4;3;5
10012158;Masculino;20;4;3;3;4;2;4;4;4;3;4;4;4;4;4;5
10012159;Femenino;18;4;4;4;2;4;4;5;4;5;5;3;4;4;4;5
10012160;Masculino;19;5;3;2;4;4;3;5;5;3;4;5;5;4;4;5
10012161;Femenino;21;2;3;3;4;3;3;4;2;3;3;4;3;3;3;5
10012162;Masculino;16;1;4;4;4;3;4;5;4;3;5;5;5;5;5;5
10012163;Masculino;19;1;4;3;1;5;2;1;1;1;5;5;5;5;5;5
10012164;Masculino;17;2;2;3;1;3;3;2;4;2;2;5;2;4;3;5
10012165;Femenino;21;5;4;3;4;4;3;3;4;4;4;4;3;4;4;5
10012166;Femenino;17;2;4;4;4;4;3;4;3;3;5;3;2;3;5;5
10012167;Masculino;20;1;3;3;2;2;4;5;5;3;5;2;5;4;3;5
10012168;Femenino;18;4;1;1;1;4;4;4;5;4;4;5;4;4;1;5
10012169;Femenino;21;3;4;4;4;3;5;4;5;3;2;5;5;5;4;5
10012170;Masculino;20;3;5;4;2;3;5;5;5;3;4;3;5;5;4;5
10012171;Femenino;21;4;4;4;5;4;5;3;3;4;4;4;4;5;5;5
10012172;Femenino;21;4;4;4;3;3;4;4;3;4;5;3;4;4;4;5
10012173;Femenino;18;4;5;5;5;3;5;3;5;5;3;5;5;5;5;5
10012174;Femenino;20;3;3;4;3;5;5;4;3;5;3;4;4;5;3;5
10012175;Masculino;17;5;5;4;2;3;5;3;4;4;5;5;5;1;4;5
10012176;Masculino;17;5;5;4;2;3;5;3;4;4;5;5;5;1;4;5
10012177;Femenino;20;3;3;4;3;2;4;4;1;4;2;5;3;5;4;5
10012178;Femenino;15;2;3;3;2;1;2;2;4;4;2;4;4;5;4;5
10012179;Masculino;20;2;4;5;5;5;4;3;4;3;3;1;2;2;4;5
10012180;Femenino;20;5;3;3;3;1;4;4;5;4;1;3;4;5;3;5
10012181;Femenino;20;4;4;4;4;5;4;4;5;3;4;4;3;5;5;5
10012182;Masculino;17;1;2;3;4;4;1;1;5;3;3;1;5;1;3;5
10012183;Femenino;21;2;5;4;3;2;5;3;5;5;4;5;5;5;4;5
10012184;Masculino;21;2;3;3;3;4;3;4;2;2;3;3;4;4;3;5
10012185;Femenino;20;3;5;3;5;5;4;5;3;3;4;4;4;5;4;5
10012186;Masculino;21;4;4;5;3;5;4;4;4;5;5;5;4;5;5;5
10012187;Femenino;20;4;3;2;4;1;3;3;5;4;2;2;2;4;4;5
10012188;Femenino;20;3;3;4;3;2;4;4;1;4;2;5;3;5;4;5
10012189;Femenino;19;1;3;2;3;3;3;1;4;1;4;5;4;5;3;5
10012190;Masculino;15;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5
10012191;Masculino;21;4;4;4;2;2;4;4;4;4;1;3;2;3;2;5
10012192;Femenino;20;4;3;3;3;3;3;3;3;3;3;4;3;3;3;5
10012193;Masculino;18;5;3;2;4;5;4;3;4;3;4;1;2;4;3;5
10012194;Masculino;17;4;3;4;1;4;1;1;3;1;3;3;3;3;3;5
10012195;Femenino;20;2;2;4;4;2;1;2;5;3;4;1;4;2;3;5
10012196;Femenino;17;2;3;5;4;4;2;2;2;5;3;4;2;2;5;5
10012197;Masculino;17;2;3;3;4;4;3;3;3;3;3;4;4;4;4;5
10012198;Femenino;19;1;3;2;3;3;3;1;4;1;4;5;4;5;3;5
10012199;Masculino;15;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5
10012200;Masculino;21;4;4;4;2;2;4;4;4;4;1;3;2;3;2;5
10012201;Femenino;20;4;3;3;3;3;3;3;3;3;3;4;3;3;3;5
10012202;Masculino;18;5;3;2;4;5;4;3;4;3;4;1;2;4;3;5
10012203;Masculino;17;4;3;4;1;4;1;1;3;1;3;3;3;3;3;5
10012204;Femenino;20;2;2;4;4;2;1;2;5;3;4;1;4;2;3;5
10012205;Femenino;17;2;3;5;4;4;2;2;2;5;3;4;2;2;5;5
10012206;Masculino;17;2;3;3;4;4;3;3;3;3;3;4;4;4;4;5
10012207;Masculino;18;5;2;4;3;3;3;3;3;3;5;3;5;4;3;5
10012208;Masculino;19;4;4;5;3;5;5;4;4;5;3;4;3;5;5;5
10012209;Femenino;17;2;3;5;4;4;4;4;5;4;3;4;5;2;3;5
10012210;Masculino;16;4;3;3;5;3;4;3;4;3;3;3;4;1;4;5
